                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4083,                 2.4562,                 1.4938,                0.29778,                0.19148,                0.10934,                0.04004,                 2.2127,                 3.7538,                 2.5244,               0.070366,              0.0032927,              0.0032927
                      2,                  1.407,                  1.999,                 1.5215,                0.38703,                0.27621,                0.23213,                0.07829,                 2.3859,                 3.0332,                  2.471,               0.040333,              0.0065932,              0.0065932
                      3,                 1.3789,                 1.8865,                 1.4996,                0.46548,                0.27846,                0.25597,                0.10323,                 2.2438,                 2.9696,                 2.4582,               0.010267,              0.0098608,              0.0098608
                      4,                 1.3716,                  1.858,                  1.491,                0.53373,                0.29445,                0.30844,                 0.1333,                 2.1963,                 2.7333,                 2.4207,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3515,                 1.7893,                 1.4814,                0.51608,                0.29656,                 0.3196,                0.12846,                 2.2014,                 2.9018,                 2.3995,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3078,                 1.7049,                 1.4503,                0.46029,                0.36827,                0.33429,                0.13813,                  2.162,                 2.9745,                  2.247,               0.009802,               0.009802,               0.009802
                      7,                 1.2848,                 1.6484,                   1.44,                0.59487,                0.38758,                0.43243,                0.18763,                 2.1261,                 2.1302,                 2.2333,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.2454,                 1.5874,                 1.4181,                0.49427,                 0.4251,                0.40122,                 0.1719,                  2.006,                  2.294,                 2.0831,               0.009703,               0.009703,               0.009703
                      9,                 1.2434,                 1.5419,                 1.4103,                0.56514,                0.45563,                0.45049,                 0.2033,                 1.9942,                 2.3483,                 2.0368,              0.0096535,              0.0096535,              0.0096535
                     10,                  1.223,                 1.4914,                 1.3915,                0.57389,                0.39002,                0.43308,                0.18525,                 2.1029,                 2.1593,                 2.1527,               0.009604,               0.009604,               0.009604
                     11,                 1.2278,                 1.4747,                 1.3885,                0.62112,                0.41174,                0.45719,                0.19407,                 2.0403,                 2.0747,                 2.1083,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2107,                  1.467,                 1.3905,                0.62643,                0.40403,                0.44526,                0.19377,                  2.153,                 2.1097,                 2.2795,               0.009505,               0.009505,               0.009505
                     13,                 1.1916,                 1.4364,                 1.3752,                  0.579,                0.40214,                0.41995,                0.18863,                 1.9806,                 2.4583,                 2.0617,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2122,                  1.436,                 1.3776,                  0.622,                0.43768,                0.48978,                0.21326,                 1.9535,                 2.0335,                 1.9988,               0.009406,               0.009406,               0.009406
                     15,                 1.1969,                 1.3837,                 1.3616,                0.66235,                0.46039,                0.51776,                0.24053,                 1.9766,                 1.9357,                 1.9908,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1828,                 1.3746,                 1.3616,                 0.6561,                 0.4547,                0.50767,                  0.224,                 2.0312,                 1.9695,                 2.1113,               0.009307,               0.009307,               0.009307
                     17,                 1.1786,                 1.3512,                 1.3501,                0.68815,                0.44227,                0.50919,                0.21058,                 2.0789,                 1.8605,                 2.0674,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1816,                 1.3639,                 1.3565,                0.68519,                0.44189,                0.51507,                0.21343,                 2.0865,                 1.8155,                 2.1077,               0.009208,               0.009208,               0.009208
                     19,                  1.175,                 1.3245,                 1.3456,                 0.7026,                0.48019,                0.54186,                 0.2513,                 1.9124,                 1.7162,                 1.9877,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.1624,                 1.3237,                 1.3511,                0.69834,                0.53569,                0.57503,                0.26076,                 1.9424,                 1.6929,                 1.9221,               0.009109,               0.009109,               0.009109
                     21,                 1.1577,                 1.3025,                 1.3381,                0.63325,                0.47533,                0.49976,                0.22029,                 2.0309,                 1.9015,                 2.0502,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.1556,                 1.3078,                 1.3404,                0.60618,                0.50733,                 0.5541,                0.23428,                 2.0734,                  1.799,                 2.0956,                0.00901,                0.00901,                0.00901
                     23,                  1.138,                 1.2717,                 1.3247,                0.72836,                0.51895,                0.57151,                0.27528,                 1.8477,                 1.6352,                 1.9241,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.1482,                 1.2667,                 1.3253,                0.69162,                0.52798,                0.55816,                0.26408,                 1.8625,                 1.6653,                 1.9182,               0.008911,               0.008911,               0.008911
                     25,                 1.1395,                 1.2404,                 1.3217,                0.71299,                0.52936,                0.55875,                 0.2567,                 1.9588,                 1.6421,                 2.0003,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1309,                 1.2352,                 1.3154,                0.74323,                0.53825,                0.60814,                0.29791,                 1.7843,                 1.6991,                 1.8557,               0.008812,               0.008812,               0.008812
                     27,                 1.1284,                 1.2339,                 1.3157,                0.71833,                0.49274,                0.56116,                0.27274,                  1.836,                 1.5945,                 1.8862,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.132,                 1.2332,                 1.3179,                0.76278,                0.55614,                0.61047,                0.27975,                 1.9537,                 1.5657,                 1.9311,               0.008713,               0.008713,               0.008713
                     29,                 1.1229,                 1.2172,                 1.3132,                0.75675,                0.49223,                0.57901,                0.30475,                 1.7649,                 1.5886,                 1.8471,              0.0086635,              0.0086635,              0.0086635
