                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4639,                 3.5322,                 1.5174,                0.83329,                0.06096,                0.05479,                0.03041,                 1.4914,                 3.9035,                 1.5869,               0.067402,             0.00032927,             0.00032927
                      2,                 1.2858,                 2.9317,                 1.3971,                0.83901,                0.07843,                0.14126,                0.06519,                 1.7288,                 3.5911,                 1.6951,                 0.0344,             0.00066042,             0.00066042
                      3,                 1.2548,                 2.4001,                 1.3741,                 0.4454,                0.28522,                0.29073,                0.13366,                 1.8215,                 2.9389,                 1.7264,              0.0013959,             0.00098936,             0.00098936
                      4,                 1.2384,                 2.0363,                 1.3617,                0.52391,                0.38715,                0.40848,                0.19274,                 1.7804,                 2.5237,                 1.6979,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.1945,                 1.8453,                  1.337,                 0.6145,                0.42127,                0.47386,                0.20537,                 1.8414,                  2.372,                 1.7437,              0.0009901,              0.0009901,              0.0009901
                      6,                  1.176,                  1.755,                 1.3267,                0.57221,                0.48148,                0.51585,                0.24096,                  1.761,                 2.1756,                 1.7013,              0.0009868,              0.0009868,              0.0009868
                      7,                 1.1581,                  1.674,                  1.318,                0.69616,                0.48764,                0.56034,                0.25303,                  1.797,                 2.0812,                 1.7055,              0.0009835,              0.0009835,              0.0009835
                      8,                 1.1427,                 1.6105,                 1.3073,                0.68619,                0.52341,                0.58312,                0.28101,                 1.7194,                 2.0339,                 1.6521,              0.0009802,              0.0009802,              0.0009802
                      9,                 1.1372,                 1.5723,                 1.3025,                0.70623,                0.51302,                0.58784,                0.27915,                 1.8081,                 1.9584,                 1.7061,              0.0009769,              0.0009769,              0.0009769
                     10,                 1.1128,                 1.5324,                 1.2971,                0.68561,                0.54502,                0.59752,                 0.2787,                  1.732,                 1.9488,                 1.6609,              0.0009736,              0.0009736,              0.0009736
                     11,                 1.1204,                 1.4943,                 1.2843,                 0.6999,                0.56068,                0.59685,                 0.2742,                 1.8086,                 1.8921,                  1.728,              0.0009703,              0.0009703,              0.0009703
                     12,                 1.0945,                 1.4676,                 1.2762,                0.78044,                0.53798,                0.62132,                0.30259,                 1.6904,                 1.8503,                 1.6289,               0.000967,               0.000967,               0.000967
                     13,                 1.0863,                 1.4318,                 1.2641,                0.77506,                0.55884,                0.64444,                0.30997,                 1.7468,                 1.8433,                 1.6808,              0.0009637,              0.0009637,              0.0009637
                     14,                 1.0789,                 1.4037,                 1.2667,                0.75231,                0.57661,                0.64164,                0.31428,                 1.7251,                 1.7763,                 1.6567,              0.0009604,              0.0009604,              0.0009604
                     15,                 1.0758,                 1.3956,                  1.259,                0.76662,                0.58093,                0.64597,                0.32505,                 1.6898,                 1.7216,                 1.6216,              0.0009571,              0.0009571,              0.0009571
                     16,                 1.0724,                 1.3706,                 1.2531,                0.78877,                0.58863,                0.65988,                 0.3304,                 1.6979,                 1.7459,                 1.6445,              0.0009538,              0.0009538,              0.0009538
                     17,                 1.0652,                 1.3492,                 1.2486,                0.81798,                0.56674,                0.65496,                0.32014,                 1.7137,                 1.7611,                 1.6781,              0.0009505,              0.0009505,              0.0009505
                     18,                 1.0549,                 1.3409,                 1.2476,                0.79912,                0.59158,                0.66127,                0.33379,                 1.6969,                 1.6761,                 1.6237,              0.0009472,              0.0009472,              0.0009472
                     19,                  1.048,                 1.3207,                 1.2404,                0.73921,                 0.6013,                0.66207,                0.32769,                 1.7162,                 1.6676,                 1.6543,              0.0009439,              0.0009439,              0.0009439
                     20,                 1.0474,                  1.308,                 1.2381,                 0.8238,                0.60662,                0.68425,                0.35594,                 1.6624,                 1.6024,                 1.5953,              0.0009406,              0.0009406,              0.0009406
                     21,                 1.0455,                 1.2865,                 1.2292,                0.83168,                0.58675,                0.68027,                0.34306,                 1.6843,                  1.634,                 1.6214,              0.0009373,              0.0009373,              0.0009373
                     22,                 1.0312,                 1.2751,                 1.2334,                0.78841,                0.62967,                0.67956,                 0.3472,                 1.7092,                 1.6003,                 1.6208,               0.000934,               0.000934,               0.000934
                     23,                 1.0267,                 1.2563,                  1.225,                0.79565,                0.62441,                0.68819,                0.36527,                 1.6541,                 1.5857,                 1.6102,              0.0009307,              0.0009307,              0.0009307
                     24,                 1.0243,                 1.2576,                 1.2239,                0.80253,                0.62487,                0.69299,                0.36191,                 1.6681,                 1.5361,                 1.6166,              0.0009274,              0.0009274,              0.0009274
                     25,                 1.0164,                 1.2297,                 1.2132,                0.76045,                0.63055,                0.67892,                0.37028,                  1.577,                 1.5344,                   1.55,              0.0009241,              0.0009241,              0.0009241
                     26,                 1.0131,                 1.2171,                 1.2099,                0.78714,                0.64497,                0.68849,                0.38768,                 1.5532,                 1.5225,                 1.5279,              0.0009208,              0.0009208,              0.0009208
                     27,                 1.0203,                 1.2184,                 1.2119,                0.83275,                 0.6239,                0.68504,                0.34109,                 1.6905,                 1.5807,                 1.6477,              0.0009175,              0.0009175,              0.0009175
                     28,                 1.0024,                 1.2066,                  1.207,                0.80859,                0.64048,                0.69552,                0.37745,                 1.5988,                  1.489,                 1.5848,              0.0009142,              0.0009142,              0.0009142
                     29,                 1.0129,                 1.1988,                 1.2075,                0.81086,                0.63024,                0.68967,                 0.3648,                 1.6124,                 1.5014,                 1.5796,              0.0009109,              0.0009109,              0.0009109
                     30,                 0.9972,                 1.1881,                 1.2001,                0.82032,                0.61302,                 0.6852,                0.35869,                 1.6362,                 1.4771,                 1.5879,              0.0009076,              0.0009076,              0.0009076
                     31,                0.99685,                 1.1714,                 1.1989,                 0.8278,                 0.6064,                 0.7012,                0.36829,                  1.625,                 1.4565,                 1.5919,              0.0009043,              0.0009043,              0.0009043
                     32,                0.99571,                  1.163,                 1.1987,                0.83846,                0.63269,                0.70495,                0.35517,                 1.6927,                 1.5025,                 1.6193,               0.000901,               0.000901,               0.000901
                     33,                0.98928,                  1.161,                 1.1951,                0.82451,                0.62109,                0.69713,                0.37961,                  1.565,                 1.4376,                 1.5359,              0.0008977,              0.0008977,              0.0008977
                     34,                0.97643,                 1.1462,                 1.1948,                0.86184,                0.61695,                0.70341,                 0.3713,                 1.6294,                 1.4853,                 1.6118,              0.0008944,              0.0008944,              0.0008944
                     35,                0.99196,                 1.1457,                 1.1963,                0.82137,                0.64691,                0.70128,                0.37785,                 1.5947,                 1.4529,                 1.5548,              0.0008911,              0.0008911,              0.0008911
                     36,                0.97641,                 1.1261,                 1.1856,                0.79341,                0.64937,                0.70187,                 0.3901,                 1.5662,                 1.4087,                 1.5327,              0.0008878,              0.0008878,              0.0008878
                     37,                0.97691,                 1.1346,                 1.1867,                0.81214,                0.64709,                0.71527,                0.37509,                 1.6381,                 1.4454,                  1.585,              0.0008845,              0.0008845,              0.0008845
                     38,                0.97365,                 1.1212,                 1.1842,                0.85072,                0.62978,                0.70656,                 0.3926,                 1.5423,                  1.397,                 1.5296,              0.0008812,              0.0008812,              0.0008812
                     39,                0.97331,                 1.1198,                 1.1835,                0.78503,                0.66037,                0.70711,                0.36887,                 1.6834,                 1.4085,                 1.6198,              0.0008779,              0.0008779,              0.0008779
                     40,                0.96425,                  1.099,                 1.1761,                 0.7939,                0.66055,                0.70909,                0.39755,                 1.4968,                 1.3806,                 1.4976,              0.0008746,              0.0008746,              0.0008746
                     41,                0.97063,                 1.1056,                 1.1808,                0.82995,                0.64036,                0.70532,                0.39874,                 1.5204,                   1.39,                 1.5156,              0.0008713,              0.0008713,              0.0008713
                     42,                 0.9595,                 1.0889,                 1.1704,                0.84019,                0.62771,                0.70451,                0.38651,                 1.5553,                 1.3779,                 1.5391,               0.000868,               0.000868,               0.000868
