                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7283,                 2.1751,                  1.735,                0.42192,                0.38461,                 0.3449,                0.15937,                 1.9557,                 2.1638,                 1.9887,             0.00030115,             0.00030115,             0.00030115
                      2,                 1.7816,                 2.2092,                 1.7648,                0.45863,                0.38289,                0.34161,                0.13799,                 2.1519,                 2.3323,                 2.2043,             0.00059219,             0.00059219,             0.00059219
                      3,                 1.7773,                 2.1673,                 1.7647,                0.53842,                0.32644,                0.31414,                0.14073,                 2.1515,                 2.5334,                 2.3443,             0.00087123,             0.00087123,             0.00087123
                      4,                 1.7585,                 2.1022,                  1.743,                0.53385,                0.39576,                0.40728,                0.15581,                 2.2163,                 2.1207,                 2.2686,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.7258,                 2.0384,                 1.7218,                0.53906,                0.39726,                0.40374,                0.17414,                 2.1496,                 2.0952,                 2.1766,             0.00085501,             0.00085501,             0.00085501
                      6,                 1.7101,                  1.995,                 1.7087,                0.54614,                0.42549,                0.43059,                0.19567,                 2.0816,                 2.0296,                 2.1249,             0.00083701,             0.00083701,             0.00083701
                      7,                 1.6815,                  1.929,                 1.6876,                0.66273,                0.45768,                0.48965,                0.22535,                 2.0674,                 1.8364,                 2.1276,             0.00081901,             0.00081901,             0.00081901
                      8,                 1.6623,                 1.8912,                 1.6668,                 0.5345,                 0.4312,                 0.4236,                0.17561,                 2.1689,                 2.0367,                 2.1992,             0.00080101,             0.00080101,             0.00080101
                      9,                 1.6304,                  1.863,                 1.6518,                0.65689,                0.46114,                0.48243,                0.19464,                 2.1475,                  1.927,                 2.1467,             0.00078301,             0.00078301,             0.00078301
                     10,                 1.6188,                 1.8284,                   1.64,                 0.7121,                 0.4839,                0.51922,                0.21781,                 2.1249,                 1.7046,                 2.1496,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.6165,                 1.8059,                 1.6271,                0.68793,                0.50893,                0.53562,                0.22898,                 2.0752,                 1.7167,                 2.0926,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.5738,                 1.7525,                 1.6058,                0.67013,                0.46778,                0.50371,                0.20666,                 2.1526,                 1.8438,                 2.1319,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.5764,                 1.7463,                 1.6012,                0.68958,                0.48747,                0.50724,                0.20663,                 2.1265,                 1.7318,                 2.1529,             0.00071102,             0.00071102,             0.00071102
                     14,                 1.5535,                 1.6985,                 1.5853,                0.68132,                0.52142,                  0.537,                0.22956,                 2.0638,                 1.6415,                 2.0803,             0.00069302,             0.00069302,             0.00069302
                     15,                 1.5529,                 1.6863,                 1.5773,                0.68924,                0.52228,                0.54309,                 0.2465,                 2.0073,                 1.6315,                  1.988,             0.00067502,             0.00067502,             0.00067502
                     16,                 1.5489,                 1.6754,                  1.579,                0.71877,                0.52061,                0.54163,                0.24931,                 1.9863,                 1.6084,                 1.9777,             0.00065703,             0.00065703,             0.00065703
