                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.397,                    2.8,                 1.5016,                0.45205,                0.37409,                0.34889,                0.14231,                 1.9303,                  2.257,                 1.8559,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2896,                 1.8457,                 1.4456,                0.44744,                0.48548,                0.42741,                0.19781,                 1.8267,                 2.0665,                 1.8266,             0.00045105,             0.00045105,             0.00045105
                      3,                 1.2595,                  1.677,                 1.4166,                0.62146,                0.42506,                0.48173,                0.20482,                 1.9895,                 1.8928,                  2.016,               0.000642,               0.000642,               0.000642
                      4,                 1.2242,                 1.5988,                 1.3926,                 0.6335,                0.50391,                 0.5226,                0.23182,                 1.8737,                 1.7931,                 1.8546,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.2072,                 1.5069,                 1.3652,                0.67977,                0.46295,                0.53217,                0.23305,                  1.898,                 1.6965,                 1.8365,             0.00060797,             0.00060797,             0.00060797
                      6,                 1.1817,                 1.4405,                 1.3435,                0.66498,                0.49732,                 0.5632,                0.24901,                  1.888,                 1.7173,                 1.8282,             0.00057263,             0.00057263,             0.00057263
                      7,                  1.163,                 1.3793,                 1.3206,                0.75489,                0.56547,                0.62575,                 0.2944,                 1.8006,                  1.525,                 1.8063,             0.00053728,             0.00053728,             0.00053728
                      8,                  1.134,                 1.3274,                 1.3144,                0.65552,                 0.5814,                0.61254,                0.28505,                 1.7799,                 1.4584,                 1.7557,             0.00050194,             0.00050194,             0.00050194
                      9,                 1.1128,                 1.2719,                 1.2909,                0.77156,                0.59043,                0.63391,                0.32471,                 1.7277,                  1.391,                  1.715,              0.0004666,              0.0004666,              0.0004666
                     10,                 1.1021,                 1.2446,                  1.284,                0.78272,                0.57337,                 0.6402,                 0.3257,                 1.7423,                 1.3988,                 1.7168,             0.00043126,             0.00043126,             0.00043126
                     11,                 1.1463,                 1.2099,                 1.3216,                 0.7983,                0.59304,                0.66924,                 0.3418,                 1.6765,                 1.3207,                 1.7044,             0.00039591,             0.00039591,             0.00039591
                     12,                 1.1197,                 1.1248,                 1.2954,                0.74854,                0.59979,                  0.669,                0.33896,                 1.7198,                 1.2785,                 1.6686,             0.00036057,             0.00036057,             0.00036057
                     13,                 1.1056,                 1.0932,                 1.2809,                0.75738,                0.62094,                0.67835,                0.35007,                 1.7138,                 1.2447,                  1.697,             0.00032523,             0.00032523,             0.00032523
                     14,                 1.0898,                  1.054,                  1.267,                 0.7998,                  0.625,                0.69176,                0.34716,                 1.7364,                 1.1948,                 1.6979,             0.00028988,             0.00028988,             0.00028988
                     15,                 1.0645,                 1.0159,                 1.2523,                0.82836,                0.63492,                0.70761,                0.37524,                 1.6438,                 1.1362,                 1.6334,             0.00025454,             0.00025454,             0.00025454
                     16,                 1.0445,                0.97146,                 1.2366,                0.83838,                0.64685,                 0.7172,                0.37862,                 1.6258,                 1.1212,                 1.6224,              0.0002192,              0.0002192,              0.0002192
                     17,                 1.0368,                0.94988,                 1.2319,                0.79636,                0.64435,                 0.7107,                0.36629,                 1.6441,                 1.0994,                 1.6448,             0.00018385,             0.00018385,             0.00018385
                     18,                 1.0135,                0.92376,                 1.2223,                0.86227,                0.63038,                0.72463,                0.38402,                 1.6231,                 1.0639,                 1.6038,             0.00014851,             0.00014851,             0.00014851
                     19,                0.98814,                0.89678,                 1.2028,                0.86205,                0.65453,                0.72556,                0.40057,                 1.5706,                 1.0393,                 1.5724,             0.00011317,             0.00011317,             0.00011317
                     20,                0.98016,                0.87905,                 1.1937,                0.87049,                0.64221,                0.73283,                0.39289,                 1.6166,                 1.0236,                  1.619,             7.7826e-05,             7.7826e-05,             7.7826e-05
